,store,sido,gungu,store_address
0,강남역,서울,강남구,서울 강남구 역삼동 619-28
1,개포1호,서울,강남구,서울 강남구 개포동 1229-18
2,개포2호,서울,강남구,서울 강남구 개포동 158-4
3,논현1호(서울),서울,강남구,서울 강남구 논현동 164-16
4,대치1호,서울,강남구,서울 강남구 대치동936
5,대치2호,서울,강남구,서울 강남구 대치동 989-4
6,도곡,서울,강남구,서울 강남구 도곡동 416-4
7,삼성1호,서울,강남구,서울 강남구 삼성동 44-18
8,세곡,서울,강남구,서울 강남구 자곡동 611
9,압구정신사,서울,강남구,서울 강남구 신사동 640-5 대성빌딩 1층 1호
10,역삼1호,서울,강남구,서울 강남구 역삼동 837-15
11,일원1동,서울,강남구,서울 강남구 일원동 645
12,일원본동,서울,강남구,서울 강남구 수서동 747 삼성아파트 상가 104호
13,청담역,서울,강남구,서울 강남구 청담동 65 진흥아파트상가
14,강일,서울,강동구,서울 강동구 강일동 679-3 리슈빌오피스텔
15,고덕1호(서울),서울,강동구,서울 강동구 고덕동 650-1
16,길1호,서울,강동구,서울 강동구 길동 347-31
17,길동역,서울,강동구,서울 강동구 길동 388-3
18,둔촌1호,서울,강동구,서울 강동구 둔촌동 454-5
19,명일1호,서울,강동구,서울 강동구 명일동 328-2
20,상일,서울,강동구,서울 강동구 고덕동 200-3
21,상일2호,서울,강동구,서울 강동구 구천면로 640
22,성내,서울,강동구,서울 강동구 성내2동 509-7 1층
23,암사1호,서울,강동구,서울 강동구 암사동 504-37
24,암사2호,서울,강동구,서울 강동구 암사동 451-18
25,천호1호,서울,강동구,서울 강동구 천호동 571
26,덕성여대,서울,강북구,서울 강북구 우이동 72-133
27,미아1호,서울,강북구,서울 강북구 미아동 561-2 현대성우아파트 상가 104호
28,미아사거리,서울,강북구,서울 강북구 미아동 55-5
29,미아역,서울,강북구,서울 강북구 미아동 131-8
30,번동,서울,강북구,서울 강북구 번동 169-1
31,수유1호,서울,강북구,서울 강북구 수유동 385-2
32,수유2호,서울,강북구,서울 강북구 수유동 57-2
33,수유역점,서울,강북구,서울 강북구 번동 461-127
34,가양,서울,강서구,서울 강서구 등촌동 75-1
35,강서구청,서울,강서구,서울 강서구 화곡동 986-16
36,까치산역,서울,강서구,서울 강서구 화곡동 343-62 라인씨티 1층
37,등촌,서울,강서구,서울 강서구 등촌동 649-14
38,마곡1호,서울,강서구,서울 강서구 강서로 마곡동 784-11 마곡오드카운티1차 111호
39,마곡역,서울,강서구,서울 강서구 마곡동 774-1
40,발산,서울,강서구,서울 강서구 내발산동 648-15
41,방화1호,서울,강서구,서울 강서구 방화동 571-1
42,방화2호,서울,강서구,서울 강서구 방화2동 580-27
43,염창,서울,강서구,서울 강서구 염창동 249-5
44,화곡2호,서울,강서구,서울 강서구 화곡동 400-45
45,봉천1호,서울,관악구,서울 관악구 봉천동 861-7
46,봉천2호,서울,관악구,서울 관악구 봉천동 1674-20
47,봉천3호,서울,관악구,서울 관악구 봉천동 1632-9
48,봉천4호,서울,관악구,서울 관악구 봉천동 931-12
49,신림1호,서울,관악구,서울 관악구 신림동 518-56
50,신림2호,서울,관악구,서울 관악구 신림동 1680-15
51,신림3호,서울,관악구,서울 관악구 신림동 241-66
52,신림4호,서울,관악구,서울 관악구 신림동 706-6
53,건대,서울,광진구,서울 광진구 화양동 9-18
54,광장,서울,광진구,서울 광진구 광장동 530-13
55,구의역,서울,광진구,서울 광진구 구의동 257-70
56,자양1호,서울,광진구,서울 광진구 자양3동 584-28
57,자양2호,서울,광진구,서울 광진구 자양동 624-42
58,중곡1호,서울,광진구,서울 광진구 중곡동 243-1
59,중곡2호,서울,광진구,서울 광진구 중곡동 24-2
60,개봉1호,서울,구로구,서울 구로구 개봉동 403-159
61,고척1호,서울,구로구,서울 구로구 개봉1동 126-4
62,구로2호,서울,구로구,서울 구로구 구로동 74-30
63,구로디지털,서울,구로구,서울 구로구 구로동 826-1
64,남구로,서울,구로구,서울 구로구 구로동 704-38
65,동양미래대학,서울,구로구,서울 구로구 고척동 343
66,신도림1호,서울,구로구,서울 구로구 신도림동 648 신도림6차대림아파트 상가 902동 111호
67,오류1호,서울,구로구,서울 구로구 오류1동 10-3
68,천왕역,서울,구로구,서울 구로구 오류동 203-1 1층
69,항동,서울,구로구,서울특별시 구로구 연동로 233 102호
70,가산디지털,서울,금천구,서울 금천구 가산동 371-6 가산비지니스센터 2층
71,독산1호,서울,금천구,서울 금천구 독산동 961-10
72,독산2동,서울,금천구,서울 금천구 독산동 1059-4
73,시흥1호,서울,금천구,서울 금천구 시흥2동 264-17
74,시흥2호,서울,금천구,서울 금천구 시흥1동 905-5
75,공릉1호,서울,노원구,서울 노원구 공릉동 338-6
76,공릉2호,서울,노원구,서울 노원구 공릉동 461-1
77,공릉3호,서울,노원구,서울 노원구 공릉동 568-27
78,상계4단지,서울,노원구,서울 노원구 상계동 749-5
79,상계보람,서울,노원구,서울 노원구 상계동 456-70
80,상계역,서울,노원구,서울 노원구 중계동 137-39
81,석계역,서울,노원구,서울 노원구 월계1동 73-13
82,수락산역,서울,노원구,서울 노원구 상계동 1118
83,인덕대,서울,노원구,서울 노원구 월계동 951 월계센트럴아이파크 상가동 101호
84,중계1호,서울,노원구,서울 노원구 중계1동 360-9
85,중계역,서울,노원구,서울 노원구 중계동 503
86,하계1호,서울,노원구,서울 노원구 하계1동 251 청구상가 201동 101호
87,도봉동,서울,도봉구,서울 도봉구 도봉2동 623-163
88,방학,서울,도봉구,서울 도봉구 방학동 659-32
89,쌍문1호,서울,도봉구,서울 도봉구 방학동 263-56
90,쌍문역,서울,도봉구,서울 도봉구 쌍문3동 88-127
91,창3동,서울,도봉구,서울 도봉구 창동 568-2
92,창동,서울,도봉구,서울 도봉구 창동 296-37
93,경희대,서울,동대문구,서울 동대문구 회기동 42-16
94,답십리1호,서울,동대문구,서울 동대문구 답십리동 53-50
95,서울시립대,서울,동대문구,서울 동대문구 전농동 295-5
96,신이문,서울,동대문구,서울 동대문구 이문동 255-222
97,안암,서울,동대문구,서울 동대문구 제기동 142-8
98,용두,서울,동대문구,서울 동대문구 왕산로28길 55
99,장안1호,서울,동대문구,서울 동대문구 전농동 1-171
100,장안2호,서울,동대문구,서울 동대문구  장안동 375-3
101,청량리역,서울,동대문구,서울 동대문구 청량리동 50-14
102,노량진,서울,동작구,서울 동작구 노량진동 37-1
103,사당1호,서울,동작구,서울 동작구 사당3동 155-2 1F
104,사당3호,서울,동작구,서울 동작구 사당동 220-119
105,상도,서울,동작구,서울 동작구 상도동 535 상도2차 두산위브트레지움아파트 상가
106,상도터널,서울,동작구,서울 동작구 상도동 159-26
107,숭실대,서울,동작구,서울 동작구 상도동 489-9
108,신대방,서울,동작구,서울 동작구 신대방동 607-28
109,신대방삼거리,서울,동작구,서울 동작구 대방동 407-46
110,흑석1호,서울,동작구,서울 동작구 흑석동 180-6
111,도화(서울),서울,마포구,서울 마포구 도화동 55
112,망원2동,서울,마포구,서울 마포구 망원동 482-9
113,상암,서울,마포구,서울 마포구 상암동 34-45
114,성산2동,서울,마포구,서울 마포구 성산동 592
115,신공덕,서울,마포구,서울 마포구 신공덕동 159(신공덕 래미안상가 1동109호)
116,신수,서울,마포구,서울 마포구 신수동 451번지 세양청마루아파트 상가 101호
117,아현,서울,마포구,서울 마포구 아현동 774 마포래미안 푸르지오 101동 상가 114호
118,연남,서울,마포구,서울 마포구 연남동 369-20
119,용강(서울),서울,마포구,서울 마포구 대흥동 500-10
120,홍대,서울,마포구,서울 마포구 서교동 371-3
121,독립문,서울,서대문구,서울 서대문구 냉천동 226
122,명지대,서울,서대문구,서울 서대문구 남가좌동 344-7
123,북가좌1호,서울,서대문구,서울 서대문구 북가좌동 385-8
124,북아현1호,서울,서대문구,서울 서대문구 북아현동 1006
125,신촌,서울,서대문구,서울 서대문구 창천동 41-14
126,연희1호(서울),서울,서대문구,서울 서대문구 연희3동 344-26
127,홍은1호,서울,서대문구,서울 서대문구 홍제동 279-52
128,홍은사거리,서울,서대문구,서울 서대문구 홍제동 326-20
129,반포1호,서울,서초구,서울 서초구 반포동 94-7
130,반포삼호가든,서울,서초구,서울 서초구 반포동 53-7
131,방배1호,서울,서초구,서울 서초구 방배동 761-8
132,방배2호,서울,서초구,서울 서초구 방배동 912-8
133,서초1호,서울,서초구,서울 서초구 서초동 1357-56
134,서초2호,서울,서초구,서울 서초구 서초동 1669-15
135,서초3호,서울,서초구,서울 서초구 서초동 1579-5
136,양재1호,서울,서초구,서울 서초구 양재동 327-2
137,우면,서울,서초구,서울 서초구 우면동 720
138,잠원1호,서울,서초구,서울 서초구 잠원동 15-4
139,금호역,서울,성동구,서울 성동구 금호동4가 1380
140,성수1호,서울,성동구,서울 성동구 성수동2가 235-1
141,성수역,서울,성동구,서울 성동구 성수동2가 289-251
142,왕십리1호,서울,성동구,서울 성동구 하왕십리동 946-15
143,왕십리도선,서울,성동구,서울 성동구 홍익동 131-1
144,용답,서울,성동구,서울 성동구 용답동 60-18
145,응봉,서울,성동구,서울 성동구 응봉동 100
146,한양대,서울,성동구,서울 성동구 행당동 3-29
147,길음뉴타운,서울,성북구,서울 성북구 길음동 1284-17
148,동덕여대,서울,성북구,서울 성북구 하월곡동 17-1
149,동소문,서울,성북구,서울 성북구 동선동5가 147-13
150,보문,서울,성북구,서울 성북구 보문동7가 99
151,석관장위,서울,성북구,서울 성북구 장위동 50-46
152,정릉1호,서울,성북구,서울 성북구 정릉동 285-11
153,정릉2호,서울,성북구,서울 성북구 정릉동 175-24
154,종암,서울,성북구,서울 성북구 종암동 3-544
155,한성대,서울,성북구,서울 성북구 동소문동3가 31
156,가락2호,서울,송파구,서울 송파구 가락동 75-7
157,거여가락1호,서울,송파구,서울 송파구 가락동 180-9
158,마천1호,서울,송파구,서울 송파구 거여동 32-6
159,문정법조,서울,송파구,서울 송파구 문정동 620 송파푸르지오시티 B09호
160,방이2호,서울,송파구,서울 송파구 방이동 59-1
161,방이역,서울,송파구,서울 송파구 오금동 41-23 성암빌딩 1층
162,석촌,서울,송파구,서울 송파구 석촌동 163-1
163,송파1호,서울,송파구,서울 송파구 송파동 147
